"pid","measurement_day","counts"
1,"2023-01-01",2587
1,"2023-01-02",8310
1,"2023-01-03",8414
1,"2023-01-04",8482
1,"2023-01-05",8666
1,"2023-01-06",9177
1,"2023-01-07",3246
1,"2023-01-08",1312
1,"2023-01-09",8992
1,"2023-01-10",8300
1,"2023-01-11",8828
1,"2023-01-12",8740
1,"2023-01-13",8806
1,"2023-01-14",4400
1,"2023-01-15",1450
1,"2023-01-16",8707
1,"2023-01-17",8750
1,"2023-01-18",8960
1,"2023-01-19",8767
1,"2023-01-20",10432
1,"2023-01-21",1867
1,"2023-01-22",3502
1,"2023-01-23",8820
1,"2023-01-24",8897
1,"2023-01-25",7824
1,"2023-01-26",9040
1,"2023-01-27",8728
1,"2023-01-28",3944
1,"2023-01-29",1868
1,"2023-01-30",9022
1,"2023-01-31",8859
1,"2023-02-01",8576
1,"2023-02-02",8085
1,"2023-02-03",8481
1,"2023-02-04",2904
1,"2023-02-05",2514
1,"2023-02-06",8832
1,"2023-02-07",8312
1,"2023-02-08",8329
1,"2023-02-09",8012
1,"2023-02-10",7914
1,"2023-02-11",4324
1,"2023-02-12",5139
1,"2023-02-13",8518
1,"2023-02-14",8704
1,"2023-02-15",11374
1,"2023-02-16",8470
1,"2023-02-17",8421
1,"2023-02-18",4253
1,"2023-02-19",3356
1,"2023-02-20",9009
1,"2023-02-21",8559
1,"2023-02-22",8934
1,"2023-02-23",7406
1,"2023-02-24",8348
1,"2023-02-25",760
1,"2023-02-26",1394
1,"2023-02-27",8837
1,"2023-02-28",8823
