"pid","measurement_day","counts"
1,"2023-01-01",2587
1,"2023-01-02",8310
1,"2023-01-03",8414
1,"2023-01-04",8482
1,"2023-01-05",8666
1,"2023-01-06",9177
1,"2023-01-07",3246
1,"2023-01-08",1312
1,"2023-01-09",8992
1,"2023-01-10",8300
1,"2023-01-11",8828
1,"2023-01-12",8740
1,"2023-01-13",8806
1,"2023-01-14",4400
1,"2023-01-15",1450
1,"2023-01-16",8707
1,"2023-01-17",8750
1,"2023-01-18",8960
1,"2023-01-19",8767
1,"2023-01-20",10432
1,"2023-01-21",1867
1,"2023-01-22",3502
1,"2023-01-23",8820
1,"2023-01-24",8897
1,"2023-01-25",7824
1,"2023-01-26",9040
1,"2023-01-27",8728
1,"2023-01-28",3944
1,"2023-01-29",1868
1,"2023-01-30",9022
1,"2023-01-31",8859
1,"2023-02-01",8576
1,"2023-02-02",8085
1,"2023-02-03",8481
1,"2023-02-04",2904
1,"2023-02-05",2514
1,"2023-02-06",8832
1,"2023-02-07",8312
1,"2023-02-08",8329
1,"2023-02-09",8012
1,"2023-02-10",7914
1,"2023-02-11",4324
1,"2023-02-12",5139
1,"2023-02-13",8518
1,"2023-02-14",8704
1,"2023-02-15",11374
1,"2023-02-16",8470
1,"2023-02-17",8421
1,"2023-02-18",4253
1,"2023-02-19",3356
1,"2023-02-20",9009
1,"2023-02-21",8559
1,"2023-02-22",8934
1,"2023-02-23",7406
1,"2023-02-24",8348
1,"2023-02-25",760
1,"2023-02-26",1394
1,"2023-02-27",8837
1,"2023-02-28",8823
1,"2023-03-01",7870
1,"2023-03-02",8832
1,"2023-03-03",8314
1,"2023-03-04",2744
1,"2023-03-05",2107
1,"2023-03-06",8697
1,"2023-03-07",8739
1,"2023-03-08",8859
1,"2023-03-09",8720
1,"2023-03-10",9432
1,"2023-03-11",2079
1,"2023-03-12",3670
1,"2023-03-13",6740
1,"2023-03-14",8460
1,"2023-03-15",9820
1,"2023-03-16",8290
1,"2023-03-17",9280
1,"2023-03-18",2420
1,"2023-03-19",2140
1,"2023-03-20",9660
1,"2023-03-21",8500
1,"2023-03-22",8600
1,"2023-03-23",8830
1,"2023-03-24",8330
1,"2023-03-25",2290
1,"2023-03-26",3320
1,"2023-03-27",8830
1,"2023-03-28",8680
1,"2023-03-29",8590
1,"2023-03-30",9960
1,"2023-03-31",8040
1,"2023-04-01",2610
1,"2023-04-02",2700
1,"2023-04-03",8810
1,"2023-04-04",8520
1,"2023-04-05",9340
1,"2023-04-06",9080
1,"2023-04-07",8720
1,"2023-04-08",2700
1,"2023-04-09",7340
