"measurement_day","condition"
"2023-01-01","曇り"
"2023-01-02","晴れのち曇り"
"2023-01-03","晴れのち曇り"
"2023-01-04","曇りのち晴れ"
"2023-01-05","晴れのち曇り"
"2023-01-06","曇り時々晴れ"
"2023-01-07","曇り"
"2023-01-08","晴れ"
"2023-01-09","曇りのち雪"
"2023-01-10","雪"
"2023-01-11","曇り"
"2023-01-12","晴れ"
"2023-01-13","曇り"
"2023-01-14","曇り"
"2023-01-15","曇り"
"2023-01-16","雪"
"2023-01-17","晴れ"
"2023-01-18","晴れ"
"2023-01-19","晴れのち曇り時々雪"
"2023-01-20","晴れのち曇り"
"2023-01-21","雪"
"2023-01-22","晴れ"
"2023-01-23","晴れのち曇り"
"2023-01-24","曇りのち雪"
"2023-01-25","雪のち晴れ"
"2023-01-26","晴れのち曇り"
"2023-01-27","晴れ時々曇り"
"2023-01-28","晴れ時々曇り"
"2023-01-29","晴れ"
"2023-01-30","晴れ"
"2023-01-31","晴れ時々曇り"
"2023-02-01","曇りのち雪"
"2023-02-02","雪時々晴れ"
"2023-02-03","曇り"
"2023-02-04","曇り時々晴れ"
"2023-02-05","曇り"
"2023-02-06","晴れのち曇り"
"2023-02-07","晴れのち曇り"
"2023-02-08","晴れ時々雪"
"2023-02-09","雪のち曇り"
"2023-02-10","曇り"
"2023-02-11","曇り時々晴れ"
"2023-02-12","曇りのち雪"
"2023-02-13","曇りのち雪"
"2023-02-14","晴れのち雪"
"2023-02-15","雪時々晴れ"
"2023-02-16","晴れのち曇り"
"2023-02-17","曇り"
"2023-02-18","晴れ時々曇り"
"2023-02-19","曇りのち雪"
"2023-02-20","雪のち晴れ"
"2023-02-21","晴れ"
"2023-02-22","吹雪のち晴れ"
"2023-02-23","曇りのちみぞれ"
"2023-02-24","晴れのち雪"
"2023-02-25","曇り時々雪"
"2023-02-26","雪"
"2023-02-27","晴れ"
"2023-02-28","晴れ"
"2023-03-01","曇り"
"2023-03-02","晴れ"
"2023-03-03","曇り時々晴れ"
"2023-03-04","雪"
"2023-03-05","晴れ"
"2023-03-06","晴れ"
"2023-03-07","曇りのち晴れ"
"2023-03-08","曇り"
"2023-03-09","晴れのち曇り"
"2023-03-10","雨"
"2023-03-11","くもり"
"2023-03-12","曇り時々晴れ"
"2023-03-13","曇り強風"
"2023-03-14","曇り"
"2023-03-15","晴れ"
"2023-03-16","曇り時々小雨"
"2023-03-17","晴れのち小雪"
"2023-03-18","曇り時々晴れ"
"2023-03-19","晴れ"
"2023-03-20","晴れ"
"2023-03-21","晴れ"
"2023-03-22","晴れ"
"2023-03-23","曇り"
"2023-03-24","曇り時々小雨"
"2023-03-25","晴れのち曇り"
"2023-03-26","曇りのち雨"
"2023-03-27","雨のち晴れ"
"2023-03-28","晴れ"
"2023-03-29","晴れ"
"2023-03-30","晴れのち曇り"
"2023-03-31","曇り時々雨のち晴れ"
"2023-04-01","曇り時々晴れ"
"2023-04-02","曇りのち晴れ"
"2023-04-03","晴れ"
"2023-04-04","晴れのち曇り"
"2023-04-05","曇り"
"2023-04-06","曇りのち雨"
"2023-04-07","曇りのち雨"
"2023-04-08","曇りのち雨"
"2023-04-09","雨のち晴れ"
